Model,Impressions_Test_R2,Impressions_Test_MAE,Impressions_Test_MAPE,Engagement_Test_R2,Engagement_Test_MAE,Engagement_Test_MAPE,Engagement_Rate_MAPE,Avg_Test_R2,Impressions_Overfitting,Engagement_Overfitting
Random Forest MultiOutput,0.16544863943158783,239241.2143063045,54.81172575693415,0.2828951230409269,17339.235688743516,60.331779495371265,27.160594885248106,0.22417188123625736,0.21841183377788342,0.14975954806410607
XGBoost MultiOutput,0.1598398601530926,242734.98957031255,57.62435352899558,0.2501603633997309,18218.502708740234,66.26841416592254,28.37138891584247,0.20500011177641175,0.3672137205549648,0.3040567106400136
LightGBM MultiOutput,0.1433728054961374,242541.59332566938,57.815111203700255,0.23386879383599157,17930.74172364349,65.52354688086388,27.737657151412904,0.1886207996660645,0.3253109722377907,0.27571779863268
